Name,Cringe,Doubles,Negative,Unavailable,ScarVi
Adaptability,,,,,
Aerialate,,,,,
Aftermath,,,,,
Air Lock,,,,,
Analytic,,,,,
Anger Point,,,,,
Anger Shell,,,,,t
Anticipation,,,,,
Arena Trap,,,,,
Armor Tail,,,,,t
Aroma Veil,,,,,
As One (SpAtk),,,,,
As One (Atk),,,,,
Aura Break,,,,,
Bad Dreams,,,,,
Ball Fetch,,,,t,
Battery,,t,,,
Battle Bond,,,,t,
Battle Armor,,,,,
Beads of Ruin,,,,,t
Beast Boost,,,,,
Berserk,,,,,
Big Pecks,,,,,
Blaze,,,,,
Bulletproof,,,,,
Cheek Pouch,,,,,
Chilling Neigh,,,,,
Chlorophyll,,,,,
Clear Body,,,,,
Cloud Nine,,,,,
Color Change,,,,,
Comatose,,,,,
Commander,,t,,,t
Competitive,,,,,
Compound Eyes,,,,,
Contrary,,,,,
Corrosion,,,,,
Costar,,t,,,t
Cotton Down,,,,,
Cud Chew,,,,,t
Curious Medicine,,t,,,
Cursed Body,,,,,
Cute Charm,,,,,
Damp,,,,,
Dancer,,,,,
Dark Aura,,,,,
Dauntless Shield,,,,,
Dazzling,,,,,
Defeatist,,,t,,
Defiant,,,,,
Delta Stream,,,,,
Desolate Land,,,,,
Disguise,,,,t,
Download,,,,,
Dragon's Maw,,,,,
Dragonize,,,,t,
Drizzle,,,,,
Drought,,,,,
Dry Skin,,,,,
Early Bird,,,,,
Earth Eater,,,,,t
Effect Spore,,,,,
Electric Surge,,,,,
Electromorphosis,,,,,t
Embody Aspect,,,,t,t
Emergency Exit,,,t,,
Fairy Aura,,,,,
Filter,,,,,
Flame Body,,,,,
Flare Boost,,,,,
Flash Fire,,,,,
Flower Gift,,t,,,
Flower Veil,,,,,
Fluffy,,,,,
Forecast,,,,t,
Forewarn,,,,,
Friend Gaurd,,t,,,
Frisk,,,,,
Full Metal Body,,,,,
Fur Coat,t,,,,
Gale Wings,,,,,
Galvanize,,,,,
Gluttony,,,,,
Good as Gold,,,,,t
Gooey,,,,,
Gorilla Tacticts,,,,,
Grass Pelt,,,,,
Grassy Surge,,,,,
Grim Neigh,,,,,
Gaurd Dog,,,,,t
Gulp Missile,,,,t,
Guts,,,,,
Hadron Engine,,,,,t
Harvest,,,,,
Healer,,t,,,
Heatproof,,,,,
Heavy Metal,,,,,
Honey Gather,,,,t,
Hospitality,,t,,,t
Huge Power,t,,,,
Hunger Switch,,,,t,
Hustle,,,,,
Hydration,,,,,
Hyper Cutter,,,,,
Ice Body,,,,,
Ice Face,,,,t,
Ice Scales,t,,,,
Illuminate,,,t,,
Illusion,,,,,
Immunity,,,,,
Imposter,t,,,,
Infiltrator,,,,,
Innards out,,,,,
Inner Focus,,,,,
Insomnia,,,,,
Intimidate,,,,,
Intrepid Sword,,,,,
Iron Barbs,,,,,
Iron Fist,,,,,
Justified,,,,,
Keen Eye,,,,,
Klutz,,,t,,
Leaf Gaurd,,,,,
Levitate,,,,,
Libero,,,,,
Light Metal,,,,,
Lightning Rod,,,,,
Limber,,,,,
Lingering Aroma,,,,,t
Liquid Voice,,,,,
Liquid Ooze,,,,,
Long Reach,,,,,
Magic Bounce,,,,,
Magic Guard,,,,,
Magician,,,,,
Magma Armor,,,,,
Magnet Pull,,,,,
Marvel Scale,,,,,
Mega Launcher,,,,,
Mega Sol,,,,t,
Merciless,,,,,
Mimicry,,,,,
Mind's Eye,,,,,t
Minus,,t,,,
Mirror Armor,,,,,
Misty Surge,,,,,
Mold Breaker,,,,,
Moody,t,,,,
Motor Drive,,,,,
Moxie,,,,,
Multiscale,,,,,
Multitype,,,,t,
Mummy,,,,,
Mycelium Might,,,t,,t
Natural Cure,,,,,
Neuroforce,,,,,
Neutralizing Gas,,,,,
No Guard,,,,,
Normalize,,,,,
Oblivious,,,,,
Opportunist,,,,,t
Orichalcum Pulse,,,,,t
Overcoat,,,,,
Overgrow,,,,,
Own Tempo,,,,,
Parental Bond,,,,,
Pastel Veil,,,,,
Perish Body,,,,,
Pickpocket,,,,,
Pickup,,,,,
Pixelate,,,,,
Plus,,t,,,
Poison Heal,,,,,
Poison Point,,,,,
Poison Puppeteer,,,,,t
Poison Touch,,,,,
Power Construct,,,,t,
Power of Alchemy,,,,,
Power Spot,,t,,,
Prankster,,,,,
Pressure,,,,,
Primordial Sea,,,,,
Prism Armor,,,,,
Propeller Tail,,t,,,
Protean,,,,,
Protosynthesis,,,,,
Psychic Surge,,,,,
Punk Rock,,,,,
Pure Power,t,,,,
Purifying Salt,,,,,t
Quark Drive,,,,,t
Queenly Majesty,,,,,
Quick Draw,,,,,
Quick Feet,,,,,
Rain Dish,,,,,
Rattled,,,,,
Receiver,,,,,
Reckless,,,,,
Refrigerate,,,,,
Regenerator,,,,,
Ripen,,,,,
Rivalry,,,,,
RKS System,,,,t,
Rock Head,,,,,
Rocky Payload,,,,,t
Rough Skin,,,,,
Run Away,,,,,
Sand Force,,,,,
Sand Spit,,,,,
Sand Stream,,,,,
Sand Viel,,,,,
Sap Sipper,,,,,
Schooling,,,,t,
Scrappy,,,,,
Screen Cleaner,,,,,
Seed Sower,,,,,
Serene Grace,,,,,
Shadow Shield,,,,,
Shadow Tag,,,,,
Sharpness,,,,,t
Shed Skin,,,,,
Sheer Force,,,,,
Shell Armor,,,,,
Shield Dust,,,,,
Shields Down,,,,t,
Simple,,,,,
Skill Link,,,,,
Slow Start,,,t,,
Slush Rush,,,,,
Sniper,,,,,
Snow Cloak,,,,,
Snow Warning,,,,,
Solar Power,,,,,
Solid Rock,,,,,
Soul-Heart,,,,,
Soundproof,,,,,
Speed Boost,,,,,
Stakeout,,,,,
Stall,,,t,,
Stalwart,,t,,,
Stamina,,,,,
Stance Change,,,,t,
Static,,,,,
Steadfast,,,,,
Steam Engine,,,,,
Steelworker,,,,,
Steely Spirit,,,,,
Stench,,,,,
Sticky Hold,,,,,
Storm Drain,,,,,
Strong Jaw,,,,,
Sturdy,,,,,
Suction Cups,,,,,
Super Luck,,,,,
Supersweet Syrup,,,,,t
Supreme Overlord,,,,,t
Surge Surfer,,,,,
Swarm,,,,,
Sweet Veil,,,,,
Swift Swim,,,,,
Sword of Ruin,,,,,t
Symbiosis,,t,,,
Synchronize,,,,,
Tablets of Ruin,,,,,t
Tangled Feet,,,,,
Tangling Hair,,,,,
Technician,,,,,
Telepathy,,t,,,
Tera Shell,,,,t,t
Tera Shift,,,,t,t
Teraform Zero,,,,t,t
Teravolt,,,,,
Thermal Exchange,,,,,t
Thick Fat,,,,,
Tinted Lens,,,,,
Torrent,,,,,
Tough Claws,,,,,
Toxic Boost,,,,,
Toxic Chain,,,,,t
Toxic Debris,,,,,t
Trace,,,,,
Transistor,,,,,
Triage,,,,,
Truant,,,t,,
Turboblaze,,,,,
Unaware,,,,,
Unburden,,,,,
Unnerve,,,,,
Unseen Fist,,,,,
Vessel of Ruin,,,,,t
Victory Star,,,,,
Vital Spirit,,,,,
Volt Absorb,,,,,
Wandering Spirit,,,,,
Water Absorb,,,,,
Water Bubble,,,,,
Water Compaction,,,,,
Water Veil,,,,,
Weak Armor,,,,,
Well-Baked Body,,,,,
White Smoke,,,,,
Wimp Out,,,t,,
Wind Power,,,,,t
Wind Rider,,,,,t
Wonder Gaurd,,,,,
Wonder Skin,,,,,
Zen Mode,,,,t,
Zero to Hero,,,,t,t
