Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,BST,ScarVi,SwoSh
Bulbasaur,,Grass,Poison,45,49,49,65,65,45,318,t,t
Ivysaur,,Grass,Poison,60,62,63,80,80,60,405,t,t
Venusaur,,Grass,Poison,80,82,83,100,100,80,525,t,t
Venusaur,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,625,,
Charmander,,Fire,,39,52,43,60,50,65,309,t,t
Charmeleon,,Fire,,58,64,58,80,65,80,405,t,t
Charizard,,Fire,Flying,78,84,78,109,85,100,534,t,t
Charizard,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634,,
Charizard,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634,,
Squirtle,,Water,,44,48,65,50,64,43,314,t,t
Wartortle,,Water,,59,63,80,65,80,58,405,t,t
Blastoise,,Water,,79,83,100,85,105,78,530,t,t
Blastoise,Mega Blastoise,Water,,79,103,120,135,115,78,630,,
Caterpie,,Bug,,45,30,35,20,20,45,195,,t
Metapod,,Bug,,50,20,55,25,25,30,205,,t
Butterfree,,Bug,Flying,60,45,50,90,80,70,395,,t
Weedle,,Bug,Poison,40,35,30,20,20,50,195,,
Kakuna,,Bug,Poison,45,25,50,25,25,35,205,,
Beedrill,,Bug,Poison,65,90,40,45,80,75,395,,
Beedrill,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495,,
Pidgey,,Normal,Flying,40,45,40,35,35,56,251,,
Pidgeotto,,Normal,Flying,63,60,55,50,50,71,349,,
Pidgeot,,Normal,Flying,83,80,75,70,70,101,479,,
Pidgeot,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579,,
Rattata,,Normal,,30,56,35,25,35,72,253,,
Rattata,Alolan Rattata,Dark,Normal,30,56,35,25,35,72,253,,
Raticate,,Normal,,55,81,60,50,70,97,413,,
Raticate,Alolan Raticate,Dark,Normal,75,71,70,40,80,77,413,,
Spearow,,Normal,Flying,40,60,30,31,31,70,262,,
Fearow,,Normal,Flying,65,90,65,61,61,100,442,,
Ekans,,Poison,,35,60,44,40,54,55,288,t,
Arbok,,Poison,,60,95,69,65,79,80,448,t,
Pikachu,,Electric,,35,55,40,50,50,90,320,t,t
Pikachu,Partner Pikachu,Electric,,45,80,50,75,60,120,430,,
Raichu,,Electric,,60,90,55,90,80,110,485,t,t
Raichu,Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,485,t,t
Sandshrew,,Ground,,50,75,85,20,30,40,300,t,t
Sandshrew,Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,300,t,t
Sandslash,,Ground,,75,100,110,45,55,65,450,t,t
Sandslash,Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,450,t,t
